image,culture,viz_selected_caption,corrected_caption,indicator,comment
VizWiz_train_00017152.jpg,Italy ,Tall wine bottle with Italian language text on the label,A bottle of 2006 Casanova di Neri Tenuta Nuova red Italian wine.,"item brand, item language",
VizWiz_train_00009467.jpg,Germany,"A book, entitled ""Collins German Dictionary & Grammar"" with a black colored cover.","A book, entitled ""Collins German Dictionary & Grammar"" with a black colored cover.",book,
VizWiz_train_00021754.jpg,Germany,A German Shepherd on a leash held by a white man in a red shirt and grey shorts,A German Shepherd dog on a leash held by a white man in a red shirt and grey shorts,animal,
VizWiz_val_00006234.jpg,Germany,"Photo of a German shepherd laying outside on the gravel, staring at the camera with bushes in the background","A German shepherd dog holding a bone and laying outside on the gravel, staring at the camera with bushes in the background",animal,
VizWiz_train_00022721.jpg,Germany,"Image of an article on a website written in German with the title ""Blinde und Sehbehinderte""","Image of an article from a website (probably wikipedia) written in German with a partially visible title ""Blinde und Sehbehinderte""",item language,
VizWiz_train_00008426.jpg,Germany,A hand reaches out to pet an adult German Shepherd dog who is sitting on a hardwood floor.,A hand reaches out to pet an adult German Shepherd dog who is sitting on a hardwood floor.,animal,
VizWiz_train_00004875.jpg,Austria,A white box of coffee is sitting on a table inside a yellow room with a painting on the wall and a sofa in the background.,"A white carton of sugar with blue details, an austrian flag and german text is sitting on a table inside a yellow room with a painting on the wall and a sofa in the background.","item brand, item language",
VizWiz_train_00013644.jpg,Germany,A box of ready to cook potatoes is opened on the table.,"A box of ready to cook potatoes, bratkartoffeln (a german dish) by Mecklenburger Küchewhich is opened on the table.","item brand, cultural food","German fries is a dish consisting of thinly sliced raw or cooked potatoes fried in fat like lard, butter or vegetable oils."
VizWiz_train_00012433.jpg,Germany,A green German street sign attached to a tree trunk.,A green German street sign saying 'sammelplatz 2' is attached to a tree trunk. There is also information about a website www.funforest.de,item language,
VizWiz_val_00007041.jpg,Germany,a magazine page article closeup written in German language.,a magazine article closeup open to page 27 written in German language.,item language,
VizWiz_val_00006219.jpg,Germany,"Back side of a Stiegl Goldbrau beer bottle, writing is in German.","Back side of a Stiegl Goldbrau beer bottle 5% alcohol, writing is in German.","item brand, item language",
VizWiz_train_00014621.jpg,Germany,a red package of Dunhill Master Blend cigarettes with a warning label in a non-English language,a red package of Dunhill Master Blend cigarettes with a warning label in German,item language,
VizWiz_train_00000318.jpg,Germany,a German shepherd dog lying on a patio or porch,a German shepherd dog lying on a patio or porch with its head down.,animal,
VizWiz_train_00014413.jpg,Germany,A textbook is open and sitting on a wooden table with just the edge of the page visible with German wording.,A German book is open and sitting on a wooden table with just the edge of the page visible.,book,
VizWiz_val_00001947.jpg,Germany,A book titled Auf Die Lange Kommtes An tiny tales.,A German book titled Auf Die Lange Kommtes An tiny tales.,book,
VizWiz_train_00019307.jpg,Switzerland ,A bottle of Unterlander Brau by Huusbier on a table,A bottle of swiss beer Unterlander Brau by Huusbier on a table,item brand,
VizWiz_train_00022231.jpg,Germany,A red and white spray bottle with German writing on it.,A red and white spray bottle with German writing on it.,"item brand, item language",
VizWiz_train_00022546.jpg,Germany,A German laundromat with a brick front and glass doors.,A German laundromat with a brick front and glass doors.,"location, item language",
VizWiz_train_00009898.jpg,Thailand,Two wooden carvings of elephants on a window ledge as decorations.,Two wooden carvings of elephants on a window ledge as decorations.,animal,
VizWiz_train_00011554.jpg,UK,"A package of British Beef Rump Steak on a counter with a barcode, weight and dates on it.",Package of British beef rump steak that is point 396 kg and costs 5 point 94 pounds.,"item brand, item language",
VizWiz_train_00000526.jpg,UK,A British 10 pound note with a picture of a young Queen Elizabeth who is the current Queen of England.,A British 10 pound note with a picture of a young Queen Elizabeth.,currency,
VizWiz_train_00017625.jpg,UK,A currency note value of 10 with a photo of Queen Elizabeth.,"A British 10 pound note with a picture of a young Queen Elizabeth, only half is shown in the picture.",currency,
VizWiz_train_00013958.jpg,UK,A ten pound note of British currency with a photo of Queen Elizabeth.,A ten pound note of British currency with a photo of Queen Elizabeth.,currency,
VizWiz_train_00020144.jpg,UK,A British five pound note is on a table.,A British five pound note is on a table.,currency,
VizWiz_train_00003660.jpg,"UK, Arabic",A pack of cigarettes from a British company has Arabic lettering.,Cigarette box that is black and green with the brand Dunhill Switch including an image of a lit cigarette and a warning in Arabic.,"itam brand, item language",
VizWiz_train_00021905.jpg,UK,A person is holding a 20 pound British currency bill.,A person is holding a 20 pound British currency bill depicting Queen Elizabeth.,currency,
VizWiz_train_00012120.jpg,UK,"a hand is holding five pounds of England, in the background is the bed",a hand is holding a British currency bill of five pounds depicting Queen Elizabeth,currency,
VizWiz_train_00010802.jpg,UK,"A British 20 pounds banknote, with Queen Elizabeth's face.","A British 20 pounds banknote, with Queen Elizabeth's face.",currency,
VizWiz_train_00023409.jpg,UK,A One Direction compact disc on a brown table.,A One Direction British band compact disc on a brown table.,music,
VizWiz_train_00015549.jpg,US,"A textbook titled, The American Paradox, A History of the United States since 1945, with a sticker on the front advising this rental book is due during finals week and yes, you can highlight in rental books.","A textbook titled, The American Paradox, A History of the United States since 1945, with a sticker on the front advising this rental book is due during finals week and yes, you can highlight in rental books.",book,
VizWiz_train_00008570.jpg,US,Someone is holding up an American twenty dollar bill.,A hand is holding up an American twenty dollar bill with a portrait of Andrew Jackson.,currency,
